rank,country,imfGDP,gdpPerCapita,population
1,United States,2.13447E+13,64864.6176,329064.917
2,China,1.42165E+13,9915.373,1433783.686
3,Japan,5.17621E+12,40802.4414,126860.301
4,Germany,3.96388E+12,47461.9283,83517.045
5,India,2.972E+12,2175.0303,1366417.754
6,United Kingdom,2.82916E+12,41894.7548,67530.172
7,France,2.76163E+12,42401.9888,65129.728
8,Italy,2.02587E+12,33457.762,60550.075
9,Brazil,1.96019E+12,9287.8199,211049.527
10,Canada,1.73911E+12,46486.5365,37411.047
11,South Korea,1.65667E+12,32340.85,51225.308
12,Russia,1.61038E+12,11039.6592,145872.256
13,Spain,1.42914E+12,30578.4892,46736.776
14,Australia,1.417E+12,56223.0238,25203.198
15,Mexico,1.24145E+12,9731.0982,127575.529
16,Indonesia,1.10091E+12,4068.0192,270625.568
17,Netherlands,9.14003E+11,53459.4403,17097.13
18,Saudi Arabia,7.62259E+11,22243.7042,34268.528
19,Switzerland,7.0757E+11,82358.2748,8591.365
20,Turkey,7.06237E+11,8465.0636,83429.615
21,Taiwan,6.01431E+11,25297.9783,23773.876
22,Poland,5.93295E+11,15659.2756,37887.768
23,Sweden,5.47123E+11,54513.9836,10036.379
24,Belgium,5.31813E+11,46086.9992,11539.328
25,Thailand,5.16662E+11,7420.5771,69625.582
26,Iran,4.84663E+11,5845.3765,82913.906
27,Argentina,4.77743E+11,10668.5078,44780.677
28,Austria,4.59589E+11,51321.4702,8955.102
29,Nigeria,4.44916E+11,2213.9134,200963.599
30,United Arab Emirates,4.27876E+11,43792.5111,9770.529
31,Norway,4.27041E+11,79392.5178,5378.857
32,Hong Kong,3.8172E+11,51332.9875,7436.154
33,Ireland,3.81571E+11,78150.8225,4882.495
34,Israel,3.81569E+11,44788.3689,8519.377
35,Malaysia,3.73447E+11,11688.5636,31949.777
36,Singapore,3.72807E+11,64229.0411,5804.337
37,South Africa,3.71298E+11,6340.6586,58558.27
38,Philippines,3.56682E+11,3299.0489,108116.615
39,Denmark,3.49524E+11,60556.3945,5771.876
40,Colombia,3.36599E+11,6686.5857,50339.443
41,Bangladesh,3.14656E+11,1929.8584,163046.161
42,Egypt,2.99589E+11,2984.3087,100388.073
43,Chile,2.95614E+11,15598.0059,18952.038
44,Pakistan,2.78019E+11,1283.7651,216565.318
45,Finland,2.76572E+11,49993.5287,5532.156
46,Vietnam,2.60301E+11,2698.4793,96462.106
47,Czech Republic,2.46161E+11,23028.9257,10689.209
48,Romania,2.44158E+11,12608.4991,19364.557
49,Portugal,2.39473E+11,23417.6238,10226.187
50,Peru,2.3208E+11,7138.6271,32510.453
51,Iraq,2.25257E+11,5730.3038,39309.783
52,Greece,2.19752E+11,20981.8059,10473.455
53,New Zealand,2.10475E+11,44004.2291,4783.063
54,Qatar,1.93502E+11,68325.3609,2832.067
55,Algeria,1.83687E+11,4266.5266,43053.054
56,Hungary,1.68778E+11,17427.32,9684.679
57,Kazakhstan,1.64207E+11,8851.4485,18551.427
58,Kuwait,1.3694E+11,32549.8689,4207.083
59,Ukraine,1.34887E+11,3066.057,43993.638
60,Morocco,1.2135E+11,3327.231,36471.769
61,Slovakia,1.09863E+11,20132.4424,5457.013
62,Ecuador,1.06289E+11,6117.8236,17373.662
63,Puerto Rico,1.03506E+11,35285.2382,2933.408
64,Kenya,99246000000,1887.7402,52573.973
65,Angola,92191000000,2896.7838,31825.295
66,Ethiopia,90968000000,811.6437,112078.73
67,Dominican Republic,84837000000,7899.9285,10738.958
68,Sri Lanka,84164000000,3946.9637,21323.733
69,Guatemala,82335000000,4683.055,17581.472
70,Oman,79458000000,15971.5022,4974.986
71,Venezuela,76458000000,2681.2477,28515.829
72,Panama,70155000000,16520.9014,4246.439
73,Luxembourg,69634000000,113091.9609,615.729
74,Ghana,68258000000,2244.0109,30417.856
75,Bulgaria,67044000000,9577.5515,7000.119
76,Myanmar,65665000000,1214.9966,54045.42
77,Croatia,61252000000,14829.9011,4130.304
78,Tanzania,61032000000,1052.1768,58005.463
79,Belarus,60951000000,6448.1961,9452.411
80,Costa Rica,60459000000,11977.8642,5047.561
81,Uruguay,60231000000,17399.0838,3461.734
82,Lebanon,58281000000,8501.0852,6855.713
83,Macau,58055000000,90647.9089,640.445
84,Slovenia,55088000000,26501.7651,2078.654
85,Lithuania,54240000000,19654.8302,2759.627
86,Serbia,52424000000,5976.1281,8772.235
87,Turkmenistan,50346000000,8472.7778,5942.089
88,Uzbekistan,49199000000,1491.7053,32981.716
89,DR Congo,48458000000,558.3326,86790.567
90,Ivory Coast,45252000000,1759.6455,25716.544
91,Azerbaijan,45248000000,4503.3111,10047.718
92,Libya,44964000000,6634.3517,6777.452
93,Jordan,44256000000,4381.0474,10101.694
94,Bolivia,43687000000,3794.5471,11513.1
95,Paraguay,42352000000,6011.9501,7044.636
96,Cameroon,39219000000,1515.6293,25876.38
97,Bahrain,38952000000,23734.2582,1641.172
98,Tunisia,36204000000,3095.7563,11694.719
99,Latvia,35721000000,18734.0402,1906.743
100,Estonia,31026000000,23404.403,1325.648
101,Uganda,30368000000,685.9787,44269.594
102,Yemen,29079000000,997.1565,29161.922
103,Nepal,28922000000,1010.9509,28608.71
104,El Salvador,26989000000,4182.0374,6453.553
105,Cambodia,26979000000,1636.4256,16486.542
106,Senegal,25320000000,1553.7208,16296.364
107,Honduras,24651000000,2529.315,9746.117
108,Cyprus,24638000000,20556.077,1198.575
109,Zambia,24615000000,1378.14,17861.03
110,Iceland,24544000000,72394.5598,339.031
111,Trinidad and Tobago,22438000000,16084.8991,1394.973
112,Zimbabwe,22290000000,1521.9725,14645.468
113,Papua New Guinea,21453000000,2444.4774,8776.109
114,Laos,20153000000,2810.9529,7169.455
115,Bosnia and Herzegovina,20152000000,6104.8167,3301
116,Afghanistan,19990000000,525.4752,38041.754
117,Botswana,19651000000,8530.2017,2303.697
118,Mali,17833000000,907.161,19658.031
119,Georgia,17214000000,4306.9833,3996.765
120,Gabon,16709000000,7690.8596,2172.579
121,Jamaica,16152000000,5478.4503,2948.279
122,Albania,15960000000,5539.9027,2880.917
123,Mozambique,15372000000,506.2235,30366.036
124,Malta,15134000000,34366.3993,440.372
125,Burkina Faso,14882000000,732.3322,20321.378
126,Mauritius,14812000000,11666.0418,1269.668
127,Namibia,13961000000,5596.6455,2494.53
128,Mongolia,13696000000,4246.6018,3225.167
129,Brunei,13325000000,30753.4302,433.285
130,Bahamas,13262000000,34050.3541,389.482
131,Armenia,13105000000,4430.7613,2957.731
132,Macedonia,12884000000,6183.947,2083.459
133,Madagascar,12734000000,472.1664,26969.307
134,Guinea,12623000000,988.3922,12771.246
135,Nicaragua,12612000000,1926.8194,6545.502
136,Equatorial Guinea,12432000000,9168.2363,1355.986
137,Moldova,12037000000,2977.051,4043.263
138,Chad,11372000000,713.1177,15946.876
139,Benin,11184000000,947.7042,11801.151
140,Republic of the Congo,11162000000,2074.5253,5380.508
141,Rwanda,10211000000,808.6672,12626.95
142,Niger,9724000000,417.1472,23310.715
143,Haiti,9602000000,852.5201,11263.077
144,Kyrgyzstan,8334000000,1298.9705,6415.85
145,Somalia,7903000000,511.756,15442.905
146,Eritrea,7718000000,2206.9608,3497.117
147,Tajikistan,7698000000,825.8755,9321.018
148,Malawi,7436000000,399.168,18628.747
149,Maldives,5749000000,10827.7004,530.953
150,Togo,5592000000,691.8766,8082.366
151,Mauritania,5569000000,1230.529,4525.696
152,Montenegro,5443000000,8667.3769,627.987
153,Fiji,5324000000,5982.3384,889.953
154,Barbados,5207000000,18141.2769,287.025
155,Swaziland,4662000000,4060.5158,1148.13
156,Sierra Leone,3998000000,511.6972,7813.215
157,Guyana,3830000000,4892.9054,782.766
158,Suriname,3683000000,6335.0144,581.372
159,Burundi,3573000000,309.8717,11530.58
160,Liberia,3221000000,652.3711,4937.374
161,South Sudan,3151000000,284.8461,11062.113
162,Timor-Leste,3145000000,2432.1041,1293.119
163,Aruba,2875000000,27042.5344,106.314
164,Bhutan,2840000000,3721.7007,763.092
165,Lesotho,2811000000,1322.6567,2125.268
166,Djibouti,2392000000,2456.9621,973.56
167,Central African Republic,2285000000,481.5408,4745.185
168,Cape Verde,2042000000,3713.1661,549.935
169,Belize,1997000000,5115.8823,390.353
170,Saint Lucia,1971000000,10782.8656,182.79
171,Gambia,1741000000,741.575,2347.706
172,Antigua and Barbuda,1717000000,17679.5239,97.118
173,Seychelles,1654000000,16922.6204,97.739
174,San Marino,1620000000,47844.0638,33.86
175,Guinea-Bissau,1538000000,800.6572,1920.922
176,Solomon Islands,1511000000,2255.8198,669.823
177,Grenada,1272000000,11356.8387,112.003
178,Saint Kitts and Nevis,1058000000,20029.154,52.823
179,Vanuatu,942000000,3141.2356,299.882
180,Samoa,902000000,4576.4268,197.097
181,Saint Vincent and the Grenadines,864000000,7812.7119,110.589
182,Comoros,726000000,853.2283,850.886
183,Dominica,542000000,7547.9055,71.808
184,Tonga,493000000,4717.9742,104.494
185,Sao Tome and Principe,477000000,2218.0269,215.056
186,Micronesia,383000000,3365.11,113.815
187,Palau,310000000,17214.5713,18.008
188,Marshall Islands,220000000,3742.0694,58.791
189,Kiribati,187000000,1590.0549,117.606
190,Nauru,114000000,10598.7356,10.756
191,Tuvalu,49000000,4207.4532,11.646
192,Andorra,0,37053.8309,77.142
193,Anguilla,0,22699.6079,14.869
194,Bermuda,0,98028.0453,62.506
195,British Virgin Islands,0,32342.2281,30.03
196,Cayman Islands,0,59187.0516,64.948
197,Cook Islands,0,16537.1663,17.548
198,Cuba,0,7913.6043,11333.483
199,Curacao,0,19100.3155,163.424
200,North Korea,0,654.1143,25666.161
201,French Polynesia,0,19399.1634,279.287
202,Greenland,0,40283.1713,56.672
203,Liechtenstein,0,162910.0593,38.019
204,Monaco,0,165999.4066,38.964
205,Montserrat,0,12437.6378,4.989
206,New Caledonia,0,33406.5954,282.75
207,Sint Maarten,0,25291.758,42.388
208,Palestine,0,2689.4139,4981.42
209,Sudan,0,1936.0226,42813.238
210,Syria,0,1298.3538,17070.135
211,Turks and Caicos Islands,0,24025.3068,38.191